Gene	Cluster
SYNPR	In1a
PID1	In1a
SCG2	In1a
KCNIP1	In1a
AC074363.1	In1a
SEMA6D	In1a
COL16A1	In1a
RAB3C	In1a
NRXN3	In1a
DNER	In1a
ENTPD3	In1a
KCNT2	In1a
GABRG3	In1a
KCNQ5	In1a
CHRM3	In1a
SPOCK3	In1a
WWP1	In1a
CHL1	In1a
MCC	In1a
MIR325HG	In1a
L3MBTL4	In1a
LINC00693	In1a
SLC6A1	In1a
INPP4B	In1a
SEZ6L	In1a
CACNA1B	In1a
ATP1B1	In1a
CDH4	In1a
DOCK10	In1a
GAD2	In1a
FSTL5	In1a
MTSS1	In1a
KCNAB1	In1a
ENOX1	In1a
SGCD	In1a
PLD5	In1a
ALK	In1a
DAB1	In1a
NRXN1	In1a
PLPPR1	In1a
NRIP3	In1a
SHISA6	In1a
SLC35F4	In1a
GABRG2	In1a
KAZN	In1a
HMBOX1	In1a
ELAVL2	In1a
VWC2	In1a
MAML3	In1a
ARNT2	In1a
FOXG1	In1a
APLP2	In1a
HS3ST5	In1a
LINGO2	In1a
KIF1A	In1a
NFIB	In1a
KCNQ3	In1a
GNAS	In1a
FGF14	In1a
ZNF536	In1a
ASIC2	In1a
CACNA1D	In1a
ANO4	In1a
DGKB	In1a
NR3C2	In1a
PTPRM	In1a
SYT1	In1a
LARGE	In1a
U91319.1	In1a
KIF3A	In1a
SARAF	In1a
CAMK2D	In1a
SGK1	In1a
TTC28	In1a
SPOCK2	In1a
NMNAT2	In1a
CDH8	In1a
CNTNAP4	In1a
CPLX2	In1a
BICD1	In1a
KCNQ1OT1	In1a
NHS	In1a
PRKD1	In1a
DPP6	In1a
REV3L	In1a
PHYHIPL	In1a
GRIA1	In1a
REEP1	In1a
PLCB4	In1a
ANKRD30BL	In1a
DKK3	In1a
SLC2A13	In1a
C8orf34	In1a
LINC00461	In1a
ABAT	In1a
ZEB2	In1a
SV2A	In1a
PRNP	In1a
DOCK9	In1a
MYT1L	In1a
CLVS2	In1a
KCND3	In1a
KCNC2	In1a
KCNJ3	In1a
PDE8B	In1a
GRIN2B	In1a
GPR137C	In1a
APP	In1a
EPHA6	In1a
RTN3	In1a
PNMA2	In1a
KIDINS220	In1a
DSCAM	In1a
MGAT4C	In1a
NDRG4	In1a
NXPH1	In1a
CSMD3	In1a
MGAT5	In1a
CHST11	In1a
CDH13	In1a
PRKCA	In1a
PARM1	In1a
UCHL1	In1a
ARHGAP5	In1a
FRMD4A	In1a
TCF4	In1a
SUSD4	In1a
PRR16	In1a
MBOAT2	In1a
HSD17B12	In1a
ATP6V1A	In1a
ZBTB16	In1a
CANX	In1a
LINC00657	In1a
ANKRD26	In1a
NPTXR	In1a
MAN1A1	In1a
PCSK2	In1a
TUBB2A	In1a
TUBA1A	In1a
PHTF1	In1a
SERINC1	In1a
KIF21A	In1a
NAP1L3	In1a
SNRPN	In1a
RP5-921G16.1	In1a
ATCAY	In1a
ATP1A3	In1a
NETO1	In1a
IDS	In1a
PHF20L1	In1a
BACH2	In1a
DAAM1	In1a
PCLO	In1a
PAIP2	In1a
SH3RF3	In1a
HMP19	In1a
AIG1	In1a
HSP90AA1	In1a
CNTN3	In1a
AES	In1a
HSP90B1	In1a
PLPPR4	In1a
RIMBP2	In1a
ITPR1	In1a
CELF4	In1a
GPR155	In1a
CDH9	In1a
ACTG1	In1a
OSBPL8	In1a
SYT11	In1a
COX4I1	In1a
CELF5	In1a
FRRS1L	In1a
RNF157	In1a
KLC1	In1a
LARP1	In1a
ALDOA	In1a
ALCAM	In1a
GABRB2	In1a
NETO2	In1a
GNB1	In1a
FRAS1	In1a
CLTC	In1a
C16orf45	In1a
HDAC9	In1a
PDXK	In1a
USP11	In1a
KCNB2	In1a
PREPL	In1a
MAP7D2	In1a
PTPRS	In1a
MARK1	In1a
SORCS1	In1a
GABBR1	In1a
SCAMP5	In1a
ZYG11B	In1a
TSPAN7	In1a
GAPDH	In1a
SEZ6L2	In1a
G3BP2	In1a
PLD3	In1a
NDFIP1	In1a
SLC22A17	In1a
SYN2	In1a
ATP6V0A1	In1a
MORF4L2	In1a
USP22	In1a
EPB41L1	In1a
RAB6B	In1a
DOPEY1	In1a
SLC25A12	In1a
FAM189A1	In1a
TFDP2	In1a
ADRBK2	In1a
TERF2IP	In1a
ZNF483	In1a
CXCL14	In1b
ADARB2	In1b
CNTN5	In1b
SGOL1-AS1	In1b
CNR1	In1b
RGS12	In1b
PRELID2	In1b
C8orf34	In1b
GALNTL6	In1b
GRIK2	In1b
THSD7B	In1b
ERBB4	In1b
CNTNAP2	In1b
NR2F2-AS1	In1b
NR2F2	In1b
FSTL5	In1b
GRIK1	In1b
SCG2	In1b
PLD5	In1b
ADRA1A	In1b
INPP4B	In1b
SYNPR	In1b
THSD7A	In1b
SDK1	In1b
CHRNA7	In1b
NCAM2	In1b
CDH9	In1b
DAB1	In1b
DLX6-AS1	In1b
CTC-806A22.1	In1b
CCK	In1b
EGFR	In1b
CNTNAP4	In1b
RP11-58C22.1	In1b
NPAS3	In1b
L3MBTL4	In1b
COL21A1	In1b
GAD2	In1b
DOCK10	In1b
SHISA9	In1b
MIR4300HG	In1b
GAD1	In1b
SORCS1	In1b
ADAMTS9-AS2	In1b
CHST11	In1b
DNER	In1b
ZNF385D	In1b
RERG	In1b
CHSY3	In1b
BTBD11	In1b
NHS	In1b
PTPRM	In1b
ASIC2	In1b
SPOCK3	In1b
IL1RAPL2	In1b
NTN4	In1b
MIR325HG	In1b
LINC01197	In1b
LINGO2	In1b
PCSK2	In1b
PLPPR1	In1b
SLC44A5	In1b
CNTN4	In1b
TCF4	In1b
RAB3C	In1b
TIMP2	In1b
ZNF536	In1b
ARNT2	In1b
RP11-123O10.4	In1b
PEX5L	In1b
PRR16	In1b
DSCAM	In1b
ADCY2	In1b
EPHA6	In1b
SLC24A3	In1b
MTUS2	In1b
RP11-436D23.1	In1b
SNTG1	In1b
KAZN	In1b
COL16A1	In1b
KCNIP1	In1b
ARL4C	In1b
NBEA	In1b
SNHG14	In1b
DPP10	In1b
TTC28	In1b
BICD1	In1b
CHRM3	In1b
ATP1B1	In1b
SNRPN	In1b
GABRB1	In1b
ELAVL2	In1b
ROBO1	In1b
HS3ST5	In1b
LSAMP	In1b
GRIP1	In1b
FRMD4A	In1b
HDAC9	In1b
ANO4	In1b
SGK1	In1b
LRRN3	In1b
KCNC2	In1b
PTPRO	In1b
ZMAT4	In1b
DCC	In1b
GNAL	In1b
MYT1L	In1b
RBMS3	In1b
KCNT2	In1b
NYAP2	In1b
SLC6A1	In1b
HMP19	In1b
RIMBP2	In1b
DGKB	In1b
PCDH10	In1b
PGM2L1	In1b
GRIN2B	In1b
DOK6	In1b
EXT1	In1b
MIR99AHG	In1b
CDR2	In1b
RPH3A	In1b
LUZP2	In1b
PDE1C	In1b
ZEB2	In1b
TMEM108	In1b
PLEKHA5	In1b
PRICKLE2	In1b
SCN3A	In1b
CHL1	In1b
NRG3	In1b
KCNB2	In1b
SEMA6D	In1b
CACNA1B	In1b
PDE7B	In1b
PID1	In1b
TENM4	In1b
ZBTB16	In1b
NAP1L3	In1b
GNAS	In1b
CACNA1D	In1b
HS6ST3	In1b
FRMPD4	In1b
MARCH1	In1b
SHANK2	In1b
THRB	In1b
TMTC2	In1b
KCNQ3	In1b
REEP1	In1b
ANKRD26	In1b
SHISA6	In1b
RP5-921G16.1	In1b
CACNA2D3	In1b
KIDINS220	In1b
NETO2	In1b
REV3L	In1b
PTPRS	In1b
RP11-384F7.2	In1b
CDH12	In1b
LARGE	In1b
MAML3	In1b
PRKCA	In1b
PDE8B	In1b
CDH8	In1b
VWC2	In1b
GABBR2	In1b
DKK3	In1b
SORCS3	In1b
SCLT1	In1b
CEP112	In1b
PKNOX2	In1b
OXR1	In1b
GPHN	In1b
SUSD4	In1b
MYRIP	In1b
MAGI3	In1b
TUBB2A	In1b
NPAS2	In1b
NMNAT2	In1b
CACNA1E	In1b
NPTXR	In1b
PLPPR4	In1b
TSPYL2	In1b
NALCN	In1b
SLC35F1	In1b
EPHA5	In1b
SV2A	In1b
RIMS2	In1b
CSMD3	In1b
SRRM4	In1b
PAK3	In1b
PTPRE	In1b
GRIA1	In1b
TENM3	In1b
FAM189A1	In1b
CORO6	In1b
GPR137C	In1b
GABRA1	In1b
SLCO3A1	In1b
XKR4	In1b
NAP1L1	In1b
KCNQ5	In1b
RANBP17	In1b
RPL37A	In1b
GABRG3	In1b
PDS5B	In1b
TSPAN7	In1b
SEZ6L2	In1b
NLGN4Y	In1b
USP11	In1b
PNMA2	In1b
ABLIM2	In1b
AP001347.6	In1b
WNK2	In1b
RPS6KA3	In1b
ARL15	In1b
CELF4	In1b
PHYHIPL	In1b
ZNF483	In1b
KCND3	In1b
RPL34	In1b
NCOA2	In1b
NDFIP1	In1b
PRKCE	In1b
GABRB2	In1b
KLC1	In1b
SYN3	In1b
SERINC1	In1b
MACROD2	In1b
PLD3	In1b
TMEM130	In1b
SCAMP5	In1b
KIF1A	In1b
DAAM1	In1b
PAM	In1b
SARAF	In1b
SGCZ	In1b
CACNG8	In1b
GRIN1	In1b
ACTG1	In1b
TAC3	In1c
VIP	In1c
ADARB2	In1c
SYNPR	In1c
DLX6-AS1	In1c
GALNTL6	In1c
ROBO2	In1c
CXCL14	In1c
CALB2	In1c
RGS12	In1c
SCG2	In1c
ERBB4	In1c
CRH	In1c
CNR1	In1c
C8orf34	In1c
EGFEM1P	In1c
DLX1	In1c
SLC24A3	In1c
ARL4C	In1c
CCK	In1c
KCNT2	In1c
THSD7A	In1c
GAD1	In1c
SNTG1	In1c
CNTNAP2	In1c
IGF1	In1c
LRP1B	In1c
PWRN1	In1c
VWC2L	In1c
PLD5	In1c
MIR325HG	In1c
PCP4	In1c
GRM7	In1c
ROBO1	In1c
GNAS	In1c
LINC01322	In1c
SOBP	In1c
SNHG14	In1c
DSCAM	In1c
GRIA1	In1c
GABRG3	In1c
PTPRE	In1c
MEG3	In1c
TCF4	In1c
NPAS3	In1c
WBSCR17	In1c
SDK1	In1c
SORCS1	In1c
ZNF536	In1c
TIMP2	In1c
TENM3	In1c
CIT	In1c
NRXN3	In1c
L3MBTL4	In1c
NKAIN3	In1c
ANO4	In1c
CNTN4	In1c
TMEM132D	In1c
BTBD11	In1c
NR3C2	In1c
SEMA6D	In1c
KIAA1211	In1c
CNTNAP4	In1c
SLC6A1	In1c
RGS6	In1c
ZEB2	In1c
CHRM3	In1c
CACNA1D	In1c
MYRIP	In1c
CSMD1	In1c
PITPNC1	In1c
LARGE	In1c
TSPAN7	In1c
NETO2	In1c
HMP19	In1c
KCNIP1	In1c
SHISA6	In1c
ZNF292	In1c
RP11-384F7.2	In1c
ASIC2	In1c
DNER	In1c
SOX2-OT	In1c
RP11-436D23.1	In1c
GNAL	In1c
CNTN5	In1c
CCNI	In1c
CLVS1	In1c
NAP1L3	In1c
RBFOX2	In1c
LRRC7	In1c
LRRC4C	In1c
RNF180	In1c
REV3L	In1c
FRAS1	In1c
VWC2	In1c
RP11-123O10.4	In1c
NPTXR	In1c
CACNA2D3	In1c
DAB1	In1c
KAZN	In1c
FRMD4A	In1c
PLXNA4	In1c
PCSK2	In1c
HSP90AB1	In1c
NELL1	In1c
ARNT2	In1c
SEZ6L	In1c
NCAM1	In1c
ZNF804A	In1c
TNIK	In1c
MAP1B	In1c
SERINC1	In1c
OLFM3	In1c
TTC28	In1c
GRIN2B	In1c
GABRA1	In1c
TMEM132B	In1c
SCAMP5	In1c
LINC00461	In1c
ATP1B1	In1c
ZNF804B	In1c
MYT1L	In1c
DCLK1	In1c
PPM1E	In1c
SLC25A12	In1c
SRRM4	In1c
KCNB2	In1c
PAK3	In1c
CDH10	In1c
ANKRD12	In1c
SLC22A17	In1c
MAN1A2	In1c
SNRPN	In1c
ALCAM	In1c
INPP5F	In1c
TSPYL2	In1c
KCNH7	In1c
OSBPL1A	In1c
ANKRD26	In1c
SYT14	In1c
TMSB4X	In1c
NDFIP1	In1c
CNTNAP5	In1c
KCNQ1OT1	In1c
ZBTB16	In1c
PNMA2	In1c
CACNA1E	In1c
CTTNBP2	In1c
ATCAY	In1c
SLC44A5	In1c
HDAC9	In1c
KIF1A	In1c
CSMD3	In1c
NFIB	In1c
SORCS3	In1c
CACNA1B	In1c
IDS	In1c
ACTG1	In1c
TERF2IP	In1c
ADRBK2	In1c
USP11	In1c
CCDC91	In1c
NCALD	In1c
ZNF483	In1c
SETBP1	In1c
SARAF	In1c
CHSY3	In1c
MIAT	In1c
SCN3A	In1c
FRRS1L	In1c
CPLX2	In1c
SHISA9	In1c
DKK3	In1c
GRIN1	In1c
GRIP1	In1c
THRB	In1c
CLSTN2	In1c
TFDP2	In1c
ITM2B	In1c
SV2A	In1c
MARCH6	In1c
PARK2	In1c
TMEM130	In1c
NEDD4L	In1c
HSP90B1	In1c
LINC00657	In1c
RTN3	In1c
C16orf45	In1c
PCDH11X	In1c
ALDOA	In1c
TMEM59L	In1c
CDH13	In1c
MAGI3	In1c
TTTY14	In1c
THSD7A	In3
GALNTL6	In3
ADARB2	In3
ERBB4	In3
CNTNAP2	In3
CXCL14	In3
DLX6-AS1	In3
RGS12	In3
SYNPR	In3
ROBO2	In3
CSMD1	In3
SLC24A3	In3
ROBO1	In3
SHISA8	In3
PLD5	In3
HTR1E	In3
SDK1	In3
PLCE1	In3
MIR325HG	In3
L3MBTL4	In3
KCNT2	In3
CDH13	In3
NR2F2-AS1	In3
GRM7	In3
SNHG14	In3
RERG	In3
PROX1	In3
MIR4300HG	In3
MEG3	In3
ZMAT4	In3
FRMD4A	In3
SEZ6	In3
LRRC4C	In3
COL21A1	In3
ZNF804A	In3
EGFR	In3
ENTPD3	In3
SLC6A1	In3
C8orf34	In3
CNTN4	In3
RYR3	In3
PLXNA4	In3
ADRA1A	In3
ARL4C	In3
DSCAM	In3
MTUS2	In3
GAD1	In3
BTBD11	In3
TSHZ2	In3
MYRIP	In3
NLGN1	In3
LINGO2	In3
TCF4	In3
RP11-384F7.2	In3
SLC44A5	In3
DAB1	In3
KCNQ1OT1	In3
ANO4	In3
LSAMP	In3
NKAIN3	In3
NRG3	In3
CHRM3	In3
LINC01322	In3
NRXN3	In3
GRIK2	In3
CIT	In3
SEZ6L	In3
OLFM3	In3
ANK1	In3
SCG2	In3
CLVS1	In3
SNTG1	In3
CALN1	In3
KCNH7	In3
DCC	In3
RARB	In3
CNTN3	In3
B4GALT6	In3
CACNA1D	In3
TTC28	In3
CADM2	In3
SOBP	In3
REV3L	In3
KAZN	In3
PTPRO	In3
AK5	In3
GALNT13	In3
OPCML	In3
STARD13	In3
SOX2-OT	In3
RP11-436D23.1	In3
KLF12	In3
SNRPN	In3
DNER	In3
PTPRE	In3
PCDH7	In3
ANKRD30BL	In3
WBSCR17	In3
SRRM4	In3
ATP1B1	In3
TENM3	In3
MYT1L	In3
GNAL	In3
SUSD4	In3
FHOD3	In3
SLC25A12	In3
GABRG3	In3
GNAS	In3
KCNAB1	In3
RP11-123O10.4	In3
NCALD	In3
MAN1A2	In3
CSMD3	In3
RBFOX2	In3
OSBPL3	In3
CACNA1C	In3
TMEM132B	In3
FRMPD4	In3
KCNC2	In3
LIMCH1	In3
PPM1E	In3
HMP19	In3
AC007563.5	In3
CCSER1	In3
SORCS3	In3
RP5-921G16.1	In3
GPHN	In3
GRIP1	In3
ADCY2	In3
NCAM1	In3
MAPK4	In3
NTRK3	In3
PRICKLE2	In3
SYT14	In3
SMARCA2	In3
EXT1	In3
HDAC9	In3
BICD1	In3
KCNIP4	In3
PDE7B	In3
ANKH	In3
ATP1A3	In3
GABRB2	In3
GRIN2B	In3
ZBTB16	In3
MAP2	In3
NEDD4L	In3
PLEKHA5	In3
THRB	In3
AHI1	In3
CORO6	In3
ZEB1	In3
TSPYL2	In3
TSPAN7	In3
CAMTA1	In3
GABRA1	In3
TMEM108	In3
RPS6KA2	In3
NR3C2	In3
DCLK1	In3
SCAMP5	In3
SLC2A13	In3
PAM	In3
TRAF3IP2-AS1	In3
INPP5F	In3
PAK3	In3
ATCAY	In3
RANBP17	In3
TFDP2	In3
ANKRD26	In3
REEP5	In3
NMNAT2	In3
ANKRD12	In3
CYFIP2	In3
ARHGAP44	In3
OSBPL1A	In3
FNDC3A	In3
GABBR2	In3
USP11	In3
RGS6	In3
IDS	In3
CDH10	In3
SV2A	In3
OIP5-AS1	In3
LARGE	In3
PCDH11X	In3
ADRBK2	In3
SPTBN4	In3
PTPN4	In3
DDX24	In3
KIF1A	In3
CERS6	In3
KIRREL3	In3
SERINC1	In3
GRIN1	In3
RELN	In4a
CXCL14	In4a
ADARB2	In4a
GAD2	In4a
INPP4B	In4a
SGOL1-AS1	In4a
DLX6-AS1	In4a
ERBB4	In4a
CNTNAP2	In4a
FRAS1	In4a
SV2C	In4a
SLC6A1	In4a
HS3ST5	In4a
DNER	In4a
CNTN5	In4a
GALNTL6	In4a
FREM1	In4a
ROBO2	In4a
EGFR	In4a
RP11-123O10.4	In4a
GRIK2	In4a
COL5A2	In4a
SGCZ	In4a
MGAT4C	In4a
PTPRM	In4a
C8orf34	In4a
DOCK10	In4a
GRIK1	In4a
KCNC2	In4a
ADRA1A	In4a
PTPRT	In4a
FGF13	In4a
FSTL5	In4a
MYO16	In4a
FAT1	In4a
DAB1	In4a
NCAM2	In4a
GRIP1	In4a
TOX3	In4a
SCG2	In4a
KAZN	In4a
ALK	In4a
PCDH15	In4a
FGF14	In4a
SPOCK3	In4a
PLD5	In4a
GAD1	In4a
ANKRD55	In4a
XKR4	In4a
GRIN3A	In4a
CNTNAP4	In4a
NYAP2	In4a
NXPH1	In4a
UNC5D	In4a
KCNIP1	In4a
RAB3C	In4a
ZMAT4	In4a
RGS12	In4a
RIMBP2	In4a
ROBO1	In4a
LAMP5	In4a
GRIN2A	In4a
CACNA2D1	In4a
CHSY3	In4a
BCL11B	In4a
MCTP1	In4a
PRR16	In4a
KCNAB1	In4a
CSMD3	In4a
CACNA1B	In4a
PTCHD4	In4a
PRELID2	In4a
RBMS3	In4a
ARL4C	In4a
PIP5K1B	In4a
ZNF536	In4a
ADRBK2	In4a
GRM8	In4a
GRM5	In4a
SHISA9	In4a
SGK1	In4a
EPHA6	In4a
EXT1	In4a
LINGO2	In4a
PRKCB	In4a
MAML3	In4a
NEBL	In4a
GRIA2	In4a
PCDH17	In4a
CNR1	In4a
GABRB1	In4a
HDAC9	In4a
CDC5L	In4a
RPH3A	In4a
MTSS1	In4a
CHRM3	In4a
ZBTB16	In4a
NPTXR	In4a
GABBR2	In4a
PTPRO	In4a
ABI1	In4a
CACNA1E	In4a
MPPED1	In4a
ALCAM	In4a
BTBD11	In4a
NIPAL3	In4a
DGKB	In4a
FGF12	In4a
ANKRD26	In4a
SLC35F1	In4a
KIAA1211	In4a
TMEM132D	In4a
MPP6	In4a
SOX2-OT	In4a
GRIA4	In4a
MACROD2	In4a
MAGI3	In4a
CHL1	In4a
RP11-384F7.2	In4a
PRNP	In4a
ERC2	In4a
CDH9	In4a
KCNT2	In4a
NETO1	In4a
GABRB2	In4a
AC074363.1	In4a
SORCS3	In4a
FLRT2	In4a
CELF4	In4a
SERINC1	In4a
PKNOX2	In4a
ARNT2	In4a
NAP1L3	In4a
AP001347.6	In4a
MTUS2	In4a
DOCK3	In4a
ITM2B	In4a
PID1	In4a
TMEM132B	In4a
KIDINS220	In4a
SDK1	In4a
KCTD16	In4a
GABRA1	In4a
SYN3	In4a
PNMA2	In4a
MYRIP	In4a
ANO4	In4a
KIF1A	In4a
PTPRS	In4a
FRY	In4a
PLPPR4	In4a
LUZP2	In4a
APP	In4a
REEP5	In4a
HSP90AB1	In4a
PHYHIPL	In4a
CNTN4	In4a
CANX	In4a
USP11	In4a
RP11-382A20.3	In4a
SHC3	In4a
SNRPN	In4a
VWC2	In4a
ZCCHC11	In4a
PDE8B	In4a
CAMKV	In4a
THRB	In4a
RAPGEF4	In4a
PHF14	In4a
HMP19	In4a
SARAF	In4a
LINC00461	In4a
KCNQ1OT1	In4a
ZNF483	In4a
APLP2	In4a
FRRS1L	In4a
GAS7	In4a
SEZ6L	In4a
KIAA1109	In4a
RTN3	In4a
CACNB2	In4a
TMEM178B	In4a
PCSK2	In4a
CACNG8	In4a
NDUFA4	In4a
SCG5	In4a
MICU1	In4a
GNAS	In4a
GRIA1	In4a
RNF150	In4a
KCNB2	In4a
COG5	In4a
DAAM1	In4a
TTC28	In4a
ATP6V0A1	In4a
GPR137C	In4a
SV2A	In4a
SCAMP5	In4a
PAK3	In4a
HIVEP3	In4a
TUBB2A	In4a
ELAVL4	In4a
SEMA6D	In4a
ABR	In4a
DKK3	In4a
CSRNP3	In4a
BICD1	In4a
ATP6V1A	In4a
TMEM232	In4a
SCAI	In4a
LINC01122	In4a
APBA1	In4a
BRINP2	In4a
LINC00657	In4a
ACTG1	In4a
FGF13	In4b
KIT	In4b
PRELID2	In4b
ADARB2	In4b
GAD2	In4b
PTCHD4	In4b
SLC6A1	In4b
SGCZ	In4b
RP11-123O10.4	In4b
CTC-806A22.1	In4b
GRIK1	In4b
PTPRT	In4b
DNER	In4b
EYA4	In4b
SV2C	In4b
MYO16	In4b
MGAT4C	In4b
DLX6-AS1	In4b
ALK	In4b
GRIN3A	In4b
LAMP5	In4b
CDH13	In4b
FBXL7	In4b
NXPH1	In4b
PKP2	In4b
TACR1	In4b
GRIN2A	In4b
BCL11B	In4b
NRIP3	In4b
GRIP1	In4b
SPHKAP	In4b
KCNIP1	In4b
RAB3C	In4b
NXPH2	In4b
KCNAB1	In4b
TMEM132D	In4b
TRPC3	In4b
TOX2	In4b
NTNG1	In4b
RBMS3	In4b
KIAA1211	In4b
KCNC2	In4b
PTPRM	In4b
GAD1	In4b
LUZP2	In4b
DGKD	In4b
LINC01314	In4b
MTUS2	In4b
SOX2-OT	In4b
KAZN	In4b
SYT1	In4b
AP1S2	In4b
ERBB4	In4b
FGF14	In4b
CXCL14	In4b
GNG4	In4b
MACROD2	In4b
ZNF536	In4b
ARL4C	In4b
NYAP2	In4b
ATP8A2	In4b
PDGFD	In4b
UBASH3B	In4b
FREM1	In4b
FSTL5	In4b
UNC13C	In4b
NFIB	In4b
HPCAL1	In4b
IL1RAPL1	In4b
ANKRD55	In4b
GOLIM4	In4b
ADAMTS9-AS2	In4b
EGFR	In4b
DOCK10	In4b
HTR1E	In4b
CNTN5	In4b
C8orf34	In4b
NKAIN3	In4b
PIP5K1B	In4b
ADAMTSL3	In4b
LSAMP	In4b
SGK1	In4b
MTSS1	In4b
MCTP1	In4b
RPH3A	In4b
SYN2	In4b
GRM5	In4b
UNC5D	In4b
GRIA4	In4b
SEMA6D	In4b
ITM2C	In4b
PID1	In4b
EGFEM1P	In4b
CDK14	In4b
TMEM132B	In4b
ADRBK2	In4b
WWP1	In4b
IGSF11	In4b
TOX	In4b
GRIK2	In4b
ZEB2	In4b
EXT1	In4b
PDE8B	In4b
CDHR3	In4b
CCK	In4b
FAM110B	In4b
VWC2	In4b
DAB1	In4b
GRIA1	In4b
LRRC7	In4b
RIMBP2	In4b
SNHG14	In4b
GABRD	In4b
UNC5C	In4b
AP001347.6	In4b
SLC35F1	In4b
EEPD1	In4b
CNTNAP4	In4b
XKR4	In4b
SPOCK2	In4b
CACNA2D1	In4b
KIRREL3	In4b
GABBR2	In4b
EPHA3	In4b
KCTD16	In4b
CHST11	In4b
KIAA1107	In4b
BRINP2	In4b
SCN1A	In4b
CCSER1	In4b
NRG1	In4b
DPP6	In4b
SPOCK1	In4b
ABI1	In4b
CELF4	In4b
PRKCE	In4b
RGS7	In4b
CSMD3	In4b
SARAF	In4b
PLCXD3	In4b
KCNH5	In4b
SH3RF3	In4b
DOCK9	In4b
LCORL	In4b
ATP1B1	In4b
SAT1	In4b
MPPED1	In4b
APLP2	In4b
GABRB2	In4b
DGKB	In4b
WASF3	In4b
GPR155	In4b
TMSB4X	In4b
KIAA1109	In4b
PLCB1	In4b
PRNP	In4b
RNF150	In4b
SH3GL3	In4b
NDUFA4	In4b
KCNQ3	In4b
NAP1L3	In4b
PTPRB	In4b
HECW2	In4b
SV2A	In4b
DLGAP1	In4b
APP	In4b
GALNT18	In4b
NETO1	In4b
ZMAT4	In4b
PHYHIPL	In4b
ASTN2	In4b
GABRB1	In4b
ARNT2	In4b
FRY	In4b
PAK3	In4b
RP11-384F7.2	In4b
ADGRL2	In4b
CANX	In4b
CAMKV	In4b
AMMECR1	In4b
GPR158	In4b
SERINC1	In4b
SNRPN	In4b
DSCAML1	In4b
GABRG3	In4b
ABAT	In4b
MAP3K5	In4b
RGS7BP	In4b
MIR181A1HG	In4b
ARID5B	In4b
SLIT2	In4b
HSP90AA1	In4b
SCG2	In4b
GRIN2B	In4b
ANKRD26	In4b
MPDZ	In4b
NGFRAP1	In4b
SAMD12	In4b
SLC22A17	In4b
NPTXR	In4b
KIF21A	In4b
PNMA2	In4b
USP22	In4b
RASGRF2	In4b
WSB1	In4b
EFR3B	In4b
ANKRD30BL	In4b
ANKH	In4b
AC074363.1	In4b
GNAS	In4b
TENM4	In4b
SH3KBP1	In4b
BICD1	In4b
TERF2IP	In4b
USP11	In4b
FAIM2	In4b
SHISA9	In4b
ITM2B	In4b
IDS	In4b
REV3L	In4b
DOCK3	In4b
CYFIP2	In4b
KLC1	In4b
TLK1	In4b
LRRFIP2	In4b
NMNAT2	In4b
GRIA2	In4b
YWHAB	In4b
SLC2A13	In4b
OSBPL6	In4b
TSPYL2	In4b
HSP90AB1	In4b
DOK6	In4b
BEX2	In4b
NAV2	In4b
PTPRO	In4b
SDK1	In4b
CHSY3	In4b
PRKAR2B	In4b
CACNA1B	In4b
NAPB	In4b
LINC00599	In4b
PEBP1	In4b
CACNG8	In4b
MAST4	In4b
RANBP17	In4b
LRRTM3	In4b
KIF3A	In4b
ADAM22	In4b
ATP6V1A	In4b
CAP2	In4b
REPS1	In4b
LINC00657	In4b
DKK3	In4b
KIF1A	In4b
GRIN1	In4b
SMYD3	In4b
AMPH	In4b
DAAM1	In4b
BEX1	In4b
ASTN1	In4b
SCAMP5	In4b
PKNOX2	In4b
PREPL	In4b
SEZ6L2	In4b
LRRC8B	In4b
RAPGEF4	In4b
FAM49A	In4b
SUSD4	In4b
HMP19	In4b
RTF1	In4b
TUBB2A	In4b
TCEAL2	In4b
CACNG3	In4b
PRICKLE2	In4b
ADK	In4b
PDZRN3	In4b
EPHA5	In4b
ATP6V0A1	In4b
SLC25A12	In4b
MORF4L2	In4b
NSF	In4b
PGM2L1	In4b
UCHL1	In4b
LONRF2	In4b
KIFAP3	In4b
MAP7D2	In4b
SLC12A5	In4b
EML6	In4b
CNTN5	In6a
DPP10	In6a
ZNF385D	In6a
CA8	In6a
ALK	In6a
SDK1	In6a
ERBB4	In6a
THSD7A	In6a
CRH	In6a
PVALB	In6a
SLC9A9	In6a
CNTNAP2	In6a
TMEM132D	In6a
RP11-420N3.3	In6a
LHFPL3	In6a
KCNAB1	In6a
ZNF804A	In6a
HPSE2	In6a
LRRC4C	In6a
SLC6A1	In6a
TRPS1	In6a
VWC2	In6a
PLCXD3	In6a
SPARCL1	In6a
MYO16	In6a
ANK1	In6a
RP11-123O10.4	In6a
RORA	In6a
FRMPD4	In6a
ZNF536	In6a
TMEM132C	In6a
DNER	In6a
DLX6-AS1	In6a
DLGAP1	In6a
GRIA1	In6a
GABRG3	In6a
FGF13	In6a
FSTL5	In6a
MDGA2	In6a
TMTC1	In6a
GULP1	In6a
TENM4	In6a
ADAMTS17	In6a
KIAA1211	In6a
FAM19A2	In6a
SNHG14	In6a
CALN1	In6a
SGCD	In6a
MEF2C	In6a
KCNC2	In6a
TOX	In6a
TENM1	In6a
ADCY8	In6a
